order_id,date,time,item,quantity,unit_price,payment
1001,2026-01-01,08:05,Espresso,1,2.5,cash
1002,2026-01-01,08:45,Cappuccino,1,3.6,card
1003,2026-01-01,08:51,Tea,,2.2,cash
1004,2026-01-01,09:24,Espresso,1,2.5,card
1005,2026-01-01,12:59,Espresso,2,2.5,mobile
1006,2026-01-01,15:45,Latte,1,3.8,cash
1007,2026-01-01,14:24,Espresso,2,2.5,mobile
1008,2026-01-01,10:59,Latte,2,3.8,card
1009,2026-01-01,13:17,Tea,1,2.2,card
1010,2026-01-01,12:14,Sandwich,2,6.5,cash
1011,2026-01-01,10:45,Croissant,2,2.9,card
1012,2026-01-01,10:15,Latte,2,3.8,mobile
1013,2026-01-01,14:08,Croissant,1,2.9,card
1014,2026-01-01,07:27,Cappuccino,1,3.6,card
1015,2026-01-01,12:00,Cappuccino,1,3.6,card
1016,2026-01-02,09:29,Tea,1,2.2,cash
1017,2026-01-02,14:06,Espresso,2,2.5,mobile
1018,2026-01-02,13:34,Muffin,1,3.1,cash
1019,2026-01-02,16:23,Sandwich,3,6.5,cash
1020,2026-01-02,09:05,Muffin,2,3.1,card
1021,2026-01-02,18:35,Croissant,2,2.9,card
1022,2026-01-02,12:44,Espresso,1,2.5,mobile
1023,2026-01-02,18:07,Latte,1,3.8,cash
1024,2026-01-02,07:45,Latte,,3.8,cash
1025,2026-01-02,16:42, Tea ,1,2.2,mobile
1026,2026-01-02,14:30,Cappuccino,1,3.6,mobile
1027,2026-01-02,08:46,Croissant,1,2.9,card
1028,2026-01-02,13:06,Espresso,2,2.5,card
1029,2026-01-02,11:59,Latte,1,3.8,card
1030,2026-01-02,15:00,Espresso,2,2.5,card
1031,2026-01-03,08:03,Muffin,2,3.1,card
1032,2026-01-03,10:44,Espresso,1,2.5,mobile
1033,2026-01-03,12:03,Sandwich,4,6.5,cash
1034,2026-01-03,14:54,Cappuccino,1,3.6,card
1035,2026-01-03,12:55, Cappuccino ,1,3.6,mobile
1036,2026-01-03,16:26,Latte,1,3.8,card
1037,2026-01-03,09:16,Tea,1,2.2,card
1038,2026-01-03,09:29,Latte,2,3.8,card
1039,2026-01-03,08:22,Tea,1,2.2,card
1040,2026-01-03,10:39,Muffin,3,3.1,card
1041,2026-01-03,12:06,Sandwich,2,6.5,cash
1042,2026-01-03,08:38,Sandwich,1,6.5,card
1043,2026-01-03,13:58,Latte,1,3.8,mobile
1044,2026-01-03,10:40,muffin,1,3.1,card
1045,2026-01-03,11:56,Sandwich,1,6.5,cash
1046,2026-01-03,07:02,Tea,1,2.2,card
1047,2026-01-03,14:15,Latte,3,3.8,mobile
1048,2026-01-03,12:59,Tea,1,2.2,mobile
1049,2026-01-03,18:47,Muffin,,3.1,mobile
1050,2026-01-03,10:10,Muffin,2,3.1,cash
1051,2026-01-03,16:29,Croissant,1,2.9,mobile
